station_id,name,lat,lon
243,Bancroft Way at College Ave,37.8694,-122.2543
244,Shattuck Ave at Hearst Ave,37.8737,-122.2685
245,Downtown Berkeley BART,37.8701,-122.2684
246,Berkeley Civic Center,37.8691,-122.2706
247,Fulton St at Bancroft Way,37.8678,-122.2659
248,Telegraph Ave at Ashby Ave,37.856,-122.2598
249,Russell St at College Ave,37.8585,-122.2533
250,North Berkeley BART Station,37.8736,-122.2831
251,California St at University Ave,37.8706,-122.2797
252,Channing Way at Shattuck Ave,37.8658,-122.2674
253,Haste St at College Ave,37.8664,-122.2538
254,Vine St at Shattuck Ave,37.8802,-122.2696
255,Virginia St at Shattuck Ave,37.8766,-122.2695
256,Hearst Ave at Euclid Ave,37.8751,-122.2606
257,Fifth St at Delaware St,37.8704,-122.2997
258,University Ave at Oxford St,37.8724,-122.2664
259,Addison St at Fourth St,37.8662,-122.2994
262,West St at University Ave,37.87,-122.2865
263,Channing Way at San Pablo Ave,37.8628,-122.2902
265,Ninth St at Parker St,37.8589,-122.2912
266,Parker St at Fulton St,37.8625,-122.2648
267,Derby St at College Ave,37.8618,-122.2536
268,Ellsworth St at Russell St,37.8575,-122.2616
269,Telegraph Ave at Carleton St,37.8623,-122.2588
270,Ninth St at Heinz Ave,37.8539,-122.2897
271,San Pablo Park,37.8558,-122.2831
273,Fulton St at Ashby Ave,37.8556,-122.2636
274,Oregon St at Adeline St,37.8576,-122.2676
275,Julian St at 6th St,37.343,-121.8889
276,Julian St at The Alameda,37.3322,-121.9124
277,W Julian St at N Morrison St,37.3338,-121.9088
278,The Alameda at Bush St,37.3319,-121.9049
279,Santa Clara St at 7th St,37.339,-121.884
280,San Fernando St at 7th St,37.3371,-121.8832
281,9th St at San Fernando St,37.3385,-121.8809
282,Market St at Park St,37.3324,-121.8905
283,Delmas Ave and San Fernando St,37.3301,-121.8976
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.785,-122.4009
285,Webster St at O'Farrell St,37.7833,-122.4311
286,San Carlos St at 11th St,37.3364,-121.8767
287,Almaden Blvd at Balbach St,37.3269,-121.8892
288,Mission St at 1st St,37.3509,-121.9021
289,5th St at Taylor St,37.3509,-121.8958
290,George St at 1st St,37.3477,-121.8995
291,Autumn Parkway at Coleman Ave,37.3412,-121.9033
292,Empire St at 1st St,37.345,-121.8969
294,Pierce Ave at Market St,37.3273,-121.8847
295,William St at 10th St,37.333,-121.8755
296,5th St at Virginia St,37.3258,-121.877
297,Locust St at Grant St,37.3231,-121.888
298,Oak St at 1st St,37.3221,-121.8811
299,Bestor Art Park,37.3236,-121.8744
300,Palm St at Willow St,37.3172,-121.8849
301,Willow St at Vine St,37.3185,-121.8831
303,San Pedro St at Hedding St,37.3525,-121.9054
304,Jackson St at 5th St,37.3487,-121.8949
305,Ryland Park,37.3427,-121.8957
306,Saint James Park,37.3393,-121.89
307,SAP Center,37.3329,-121.9002
308,San Pedro Square,37.3368,-121.8942
309,San Jose City Hall,37.3374,-121.887
310,San Fernando St at 4th St,37.3359,-121.8856
311,Paseo De San Antonio at 2nd St,37.3338,-121.887
312,San Jose Diridon Station,37.3297,-121.9018
313,Almaden Blvd at San Fernando St,37.3315,-121.8932
314,Santa Clara St at Almaden Blvd,37.3341,-121.8949
315,Market St at 45th St,37.8342,-122.273
316,1st St at San Carlos St,37.3311,-121.8869
317,San Salvador St at 9th St,37.3339,-121.8773
318,San Carlos St at Market St,37.3309,-121.889
321,Folsom St at 5th St,37.781,-122.4025
323,Broadway at Kearny,37.7979,-122.4059
324,Union Square (Powell St at Post St),37.7885,-122.4083
327,5th St at San Salvador St,37.3332,-121.8798
329,San Jose Depot,37.344,-121.9151
336,Potrero Ave and Mariposa St,37.7634,-122.4074
337,Webster St at 19th St,37.807,-122.2666
338,13th St at Franklin St,37.8032,-122.2706
339,Jackson St at 11th St,37.8,-122.2664
340,Harmon St at Adeline St,37.8497,-122.2706
341,Fountain Alley at S 2nd St,37.3361,-121.8894
343,Bryant St at 2nd St,37.7835,-122.3931
344,16th St Depot,37.7663,-122.3963
345,Hubbell St at 16th St,37.7667,-122.3981
349,Howard St at 6th St,37.7803,-122.4066
350,8th St at Brannan St,37.7715,-122.4058
351,10th St at University Ave,37.8691,-122.2934
352,Goettingen St at Bacon St,37.7273,-122.4067
355,23rd St at Tennessee St,37.7554,-122.3888
356,Valencia St at Clinton Park,37.769,-122.4222
357,2nd St at Julian St,37.3412,-121.893
358,Williams Ave at 3rd St,37.7292,-122.3931
359,Williams Ave at Apollo St,37.73,-122.3988
360,Newhall St at 3rd St,37.7385,-122.3897
