day,hour,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,84,85,86,87,88,89,90,91,93,94,95,96,97,98,99,100,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,128,129,130,131,133,134,135,136,137,138,139,140,141,142,143,145,149,150,151,152,total
0,9,0,2,6,7,14,3,8,12,2,5,6,9,0,2,12,10,13,12,13,30,17,2,6,13,3,0,2,5,5,12,2,11,2,8,16,7,6,10,11,5,22,8,18,4,15,7,2,17,16,6,13,1,15,9,4,9,8,1,4,3,4,16,26,13,3,5,7,4,11,10,12,3,7,3,16,0,4,3,8,6,13,2,14,9,1,6,7,9,9,9,3,6,4,2,8,14,0,7,4,30,9,4,0,4,7,4,12,5,5,4,5,11,0,3,4,5,3,2,6,1,6,4,1,0,0,1,1,1,4,0,3,5,1,3,3,2,1,939
0,10,0,4,13,4,9,4,6,5,5,7,2,6,1,2,10,8,6,4,18,12,8,1,10,9,5,3,2,0,5,16,3,19,0,10,6,9,5,9,10,1,6,11,14,7,11,7,5,6,19,8,12,1,6,16,1,24,14,4,3,5,2,16,19,2,5,9,10,7,20,12,10,2,3,5,13,0,6,3,4,3,2,2,5,13,3,4,2,2,0,2,5,7,1,2,2,12,0,7,5,10,5,1,1,0,1,5,0,6,11,7,10,3,0,0,1,7,1,2,1,1,4,1,2,1,1,2,2,6,1,2,6,0,1,3,1,2,1,773
0,11,0,0,7,7,15,4,1,4,12,4,2,7,4,2,8,12,6,10,6,19,11,0,6,5,1,1,8,2,4,6,4,24,2,4,6,3,5,14,18,7,11,11,9,9,3,18,5,8,20,11,11,0,13,20,7,16,16,4,5,7,2,41,19,5,5,2,12,9,15,15,13,1,6,11,14,0,12,1,6,8,14,3,8,15,1,9,10,5,2,11,3,6,2,4,5,9,1,15,6,8,1,1,0,5,4,4,4,6,6,9,5,3,2,0,4,0,3,4,5,0,1,5,9,3,2,0,1,6,0,4,2,1,1,3,1,7,0,911
0,12,0,4,5,4,10,1,0,7,8,3,5,8,8,1,11,7,11,19,15,11,19,0,7,9,1,0,2,8,5,9,8,11,7,12,13,8,5,9,7,4,7,15,11,16,4,14,6,7,10,19,8,1,9,13,5,17,22,4,11,1,4,38,16,6,5,5,15,5,22,19,9,4,7,16,7,5,9,6,2,18,6,6,7,21,2,10,8,6,4,20,3,9,1,2,6,3,0,16,10,11,6,3,4,6,3,4,10,9,4,1,11,2,3,3,0,7,3,1,5,1,3,5,10,3,1,3,2,2,0,7,8,8,0,5,5,10,6,1015
0,13,0,3,9,4,14,5,6,5,8,12,5,8,12,5,7,8,3,14,5,19,24,8,6,8,4,3,8,7,6,19,8,25,5,8,9,2,7,16,12,10,3,21,20,8,5,9,1,8,34,13,14,3,7,25,7,16,18,6,14,11,2,28,9,7,4,1,13,14,34,19,10,4,2,21,15,3,7,2,5,6,18,5,5,6,2,10,12,8,4,20,7,8,1,2,7,3,2,15,2,8,10,2,3,1,2,4,4,3,4,1,11,2,0,9,2,9,1,3,1,2,2,2,14,2,5,1,3,4,2,4,11,4,1,3,1,11,3,1088
0,14,1,8,5,7,10,3,0,14,14,11,9,4,9,7,3,10,7,11,13,17,27,6,5,7,2,8,6,5,11,8,6,12,3,3,3,13,6,12,11,11,5,11,14,8,2,7,1,31,29,18,19,2,4,18,6,22,13,5,13,3,4,52,15,9,13,2,14,13,34,12,13,3,3,16,17,1,7,6,10,8,13,6,8,8,4,12,5,10,5,9,2,15,3,5,1,5,0,26,8,8,2,4,2,0,0,4,4,3,4,5,25,4,8,4,3,4,0,0,1,0,3,1,9,1,2,2,1,6,3,7,5,1,0,1,2,4,3,1092
0,15,0,3,8,12,7,5,2,7,10,11,2,20,12,3,10,7,2,10,9,18,26,12,2,8,1,8,5,5,6,9,16,22,0,8,3,6,2,24,8,11,4,12,10,14,11,3,1,13,32,20,5,2,9,25,6,20,16,1,12,2,8,35,11,3,7,3,22,13,39,25,7,2,2,16,11,4,18,8,0,22,12,5,18,15,0,9,4,10,4,17,3,14,0,4,6,9,1,27,8,9,9,1,2,3,1,6,1,3,4,6,14,2,6,3,0,0,2,1,1,0,3,2,6,3,2,1,0,4,2,12,11,2,0,10,2,10,5,1129
0,16,0,17,1,4,24,29,2,18,10,31,9,23,24,4,19,14,1,24,19,50,34,10,5,13,1,4,9,22,14,20,28,21,4,5,7,15,6,30,21,12,11,24,23,28,8,27,5,11,26,14,16,4,9,21,11,37,15,6,38,13,4,54,27,9,11,5,29,14,30,18,14,0,3,44,15,4,31,10,1,6,11,5,14,36,1,5,3,12,5,24,2,8,0,4,1,11,1,50,15,19,9,1,1,0,0,6,14,18,5,0,10,4,4,3,1,2,0,0,2,0,2,3,13,9,10,1,2,5,3,12,1,10,1,5,7,22,2,1695
0,17,0,13,7,8,32,21,6,12,18,30,11,28,27,2,40,11,18,43,39,126,48,27,7,20,5,10,23,37,14,26,42,51,5,19,23,19,11,62,33,14,15,15,16,43,17,37,3,12,30,32,15,1,11,32,48,36,36,2,52,20,9,63,29,7,12,3,30,28,35,39,20,0,6,55,25,2,28,9,8,6,16,7,28,34,3,5,12,11,7,25,3,29,1,2,5,21,0,40,12,24,12,0,1,4,0,11,7,32,3,3,19,3,3,2,5,3,0,0,5,0,8,7,15,23,16,1,1,6,6,22,11,27,1,9,16,19,7,2468
0,18,0,3,6,2,43,9,3,8,14,7,5,14,22,3,23,12,10,19,29,68,29,22,5,14,2,4,8,12,21,16,34,39,3,16,7,17,4,25,29,16,16,22,21,24,12,13,0,21,23,28,16,1,9,34,27,38,29,11,8,8,2,37,31,5,10,4,33,13,35,26,17,1,7,27,27,5,8,5,5,12,5,8,26,36,0,9,12,11,8,24,2,23,3,2,1,18,0,22,15,18,6,3,2,3,0,26,12,5,1,3,24,4,1,3,2,5,0,0,0,1,7,8,20,2,13,1,0,2,5,10,15,10,1,9,20,6,12,1779
0,19,0,2,11,0,20,8,3,9,9,14,6,9,14,6,16,3,6,8,24,19,12,5,5,4,4,4,6,8,10,7,14,26,0,3,7,4,6,20,15,5,6,6,18,10,7,8,2,8,27,18,15,1,12,21,3,23,15,8,12,1,7,38,37,4,16,6,13,14,21,17,18,3,7,18,18,1,13,8,2,8,10,6,15,11,4,1,11,8,1,7,5,19,2,2,9,8,1,12,10,7,6,0,1,1,1,11,3,8,1,10,4,5,1,3,1,4,0,2,0,2,0,12,10,5,5,1,3,6,4,15,4,4,3,6,7,6,4,1150
0,20,0,5,2,6,9,3,6,4,6,7,2,5,5,2,4,6,4,10,8,14,12,4,9,1,1,0,7,2,5,15,4,15,2,1,8,9,5,8,4,8,8,10,10,2,14,4,1,3,10,13,17,2,5,9,1,9,11,2,5,3,2,26,19,5,4,4,7,9,20,10,15,0,5,14,12,3,11,0,2,8,9,3,5,11,0,1,7,8,5,6,0,9,1,0,4,5,0,7,3,4,6,0,0,0,1,9,8,3,1,2,8,3,1,0,0,3,0,2,0,0,1,0,4,2,1,1,1,3,0,4,3,0,0,0,5,4,5,712
0,21,0,0,2,5,2,0,0,7,1,5,0,3,4,1,10,4,3,3,5,8,8,1,0,3,1,0,5,4,7,14,1,4,0,4,2,1,3,4,3,3,6,9,14,3,2,5,1,4,12,7,6,0,1,4,1,8,12,1,4,0,1,15,13,5,4,5,3,7,21,13,7,0,2,6,6,0,1,2,2,4,1,2,2,6,1,2,2,5,2,3,0,8,0,0,1,4,0,10,2,3,2,0,0,0,2,4,0,3,0,3,3,0,0,1,0,2,0,0,0,0,0,1,2,0,0,1,3,3,0,2,1,0,1,4,1,2,4,447
0,22,0,6,2,1,6,4,4,5,2,3,3,2,4,2,9,3,0,1,6,4,0,5,0,2,1,1,2,2,5,10,1,7,0,1,0,0,11,8,1,2,11,2,6,0,7,1,0,4,5,4,4,0,4,0,0,6,4,0,0,2,1,6,6,1,4,7,1,2,7,3,7,0,1,7,3,2,0,2,0,3,4,1,4,3,1,1,3,5,3,0,1,4,0,1,1,0,0,0,2,5,2,1,0,0,0,3,1,2,2,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,3,2,1,1,1,326
0,23,0,1,1,2,0,0,2,1,2,5,1,1,4,1,1,3,0,1,2,2,1,1,4,1,0,4,0,0,1,5,0,3,0,0,0,0,2,1,3,1,2,2,0,1,1,0,2,3,3,4,2,0,0,5,0,2,6,2,3,0,2,2,8,0,1,1,1,5,2,5,1,0,1,0,12,0,1,1,0,2,1,4,0,3,1,0,0,4,3,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,170
1,0,0,1,2,1,0,0,0,1,3,0,0,0,1,0,1,0,1,0,0,5,0,0,0,0,0,1,1,0,3,1,0,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,11,3,4,0,0,0,0,1,0,0,0,0,1,3,2,1,1,0,0,3,2,1,4,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,3,6,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,2,2,0,1,0,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
