day,hour,B32018,D32021,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,D32003,S32002,S32003,S32001,S32006,S32004,S32005,S32008,S32009,D32002,M32020,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,M32022,M32023,D32001,D32000,M32026,M32027,M32024,M32025,D32009,M32029,X32000,C32024,C32020,C32021,C32022,C32023,M32031,M32030,M32033,M32032,M32034,M32037,M32036,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32008,M32009,M32005,B32003,B32002,B32005,B32004,B32007,M32003,B32013,A32019,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,M32007,M32001,M32002,B32006,C32014,total
0,20,6,2,3,0,2,16,5,7,1,7,1,2,1,5,5,0,11,2,2,0,3,3,8,1,1,4,6,3,3,0,3,8,0,1,2,1,7,2,1,5,0,4,4,12,1,0,0,0,7,2,7,1,6,1,7,4,2,7,10,6,0,7,0,0,0,5,0,0,0,0,4,0,0,0,0,0,2,2,9,0,5,6,6,3,1,1,6,0,4,0,3,0,0,1,1,0,4,1,12,0,2,0,10,4,5,0,0,2,2,2,0,1,0,6,10,17,6,0,11,3,1,7,4,1,4,2,14,9,7,16,6,5,8,2,6,25,2,1,16,4,0,525
0,21,2,1,0,3,2,6,5,3,0,2,2,2,1,2,5,1,4,3,0,0,1,0,6,0,5,15,0,0,1,0,0,2,1,3,3,2,2,3,0,2,3,4,0,5,0,0,0,0,4,1,4,2,7,0,0,3,0,4,8,4,0,4,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,5,0,3,5,1,4,0,0,6,0,0,0,1,0,0,0,3,1,0,0,4,0,1,2,15,3,5,0,1,0,1,0,0,1,0,3,8,9,2,2,6,1,2,1,1,2,1,5,13,1,5,6,0,8,8,4,4,32,9,2,9,3,0,361
0,22,7,0,1,0,1,5,5,1,0,0,2,1,0,0,2,1,7,6,0,0,0,2,5,0,1,3,0,0,0,0,0,6,2,0,0,2,4,0,0,0,1,1,2,1,0,0,2,1,3,3,2,2,4,3,1,0,0,1,4,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,2,2,4,2,3,6,0,0,0,0,1,0,0,1,0,1,1,5,1,1,1,4,1,3,0,1,0,0,1,2,0,0,2,2,2,4,2,4,0,1,1,3,0,3,3,10,2,4,1,3,5,5,1,1,8,2,2,5,0,0,226
0,23,2,1,1,0,0,0,3,2,0,2,3,0,0,2,2,0,7,0,2,2,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,2,2,2,2,0,0,0,0,1,1,4,1,0,1,2,0,0,1,4,1,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,1,1,0,1,1,0,0,4,2,0,5,7,0,2,0,0,0,0,1,1,2,1,1,1,0,4,2,2,2,3,3,0,4,0,0,6,0,0,144
1,0,1,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,2,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,2,0,1,3,2,2,2,0,0,3,0,0,2,0,0,66
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,4,1,0,35
1,2,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,34
1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,17
1,5,4,6,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,1,2,0,4,0,0,0,0,2,0,0,0,0,2,0,1,1,4,1,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,91
