day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,D32000,D32007,M32027,C32011,C32010,C32013,C32012,C32015,C32014,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,D32003,M32023,M32020,M32021,M32026,D32006,D32005,M32025,D32009,M32029,M32024,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32009,B32008,M32009,M32005,B32003,B32002,B32005,M32001,M32002,B32006,B32013,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,A32017,B32000,M32006,M32007,B32004,B32007,M32003,total
0,20,4,2,3,4,13,2,1,9,0,2,1,4,1,1,8,0,0,2,0,4,2,4,1,4,2,3,6,0,0,7,16,2,2,3,3,10,0,0,7,0,3,5,8,0,1,1,8,0,8,6,2,3,2,9,0,10,5,7,5,1,14,0,0,1,3,1,0,0,0,4,0,2,1,0,2,3,0,7,7,6,4,2,15,0,4,3,5,12,3,14,6,3,12,6,17,1,3,3,0,0,2,4,2,0,7,9,8,3,1,5,2,5,2,7,5,2,23,1,6,20,3,10,6,4,0,9,21,1,4,1,10,564
0,21,1,0,2,7,6,4,0,3,1,0,5,1,2,1,9,0,3,0,0,0,4,2,0,1,8,1,2,0,1,4,13,0,1,0,9,3,0,0,9,2,5,2,10,3,0,0,6,0,5,5,3,3,0,2,0,4,5,7,3,1,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,5,12,4,0,2,8,0,4,9,4,6,4,8,5,1,12,5,6,0,0,4,1,1,1,4,0,0,2,12,8,0,4,8,3,9,2,3,3,3,19,4,12,17,7,10,6,4,2,4,22,6,4,2,3,461
0,22,2,1,2,4,7,1,0,5,1,1,0,3,1,1,11,1,3,1,0,0,1,2,3,0,3,0,0,0,0,2,4,1,0,0,1,2,0,0,4,0,5,3,6,0,1,0,4,0,4,2,1,7,0,0,2,1,2,3,2,1,1,1,0,2,0,0,0,0,1,3,0,0,0,0,0,1,2,10,1,3,2,1,4,0,3,12,3,10,0,5,4,9,4,5,4,0,1,2,0,2,1,4,1,0,2,8,12,0,1,1,1,5,2,1,0,1,12,6,0,11,0,8,2,3,1,11,22,5,1,1,1,332
0,23,0,0,2,2,3,0,0,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,4,1,0,0,1,0,0,0,6,0,2,0,2,1,0,5,2,0,4,0,1,0,0,0,1,6,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,2,0,1,1,0,1,2,1,5,0,5,1,2,8,2,5,0,3,1,2,0,1,2,0,0,6,9,5,2,3,2,0,4,0,3,2,0,5,3,2,5,1,1,3,1,1,4,5,3,0,0,0,188
1,0,3,0,2,1,6,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,3,0,2,1,2,0,0,0,0,1,2,2,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,6,1,2,0,4,1,3,11,2,8,0,0,2,0,0,0,1,0,0,1,5,2,0,0,1,0,0,3,1,0,0,1,1,3,8,0,1,2,1,2,0,7,1,0,0,0,140
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,2,0,0,0,1,1,1,0,0,2,1,1,5,0,1,0,0,0,0,0,1,0,1,5,5,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,2,0,0,3,0,0,0,0,68
1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,28
1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,1,6,0,0,0,0,31
1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,27
1,5,1,0,1,1,1,0,0,0,3,0,2,0,0,0,0,0,3,4,0,0,2,4,5,0,0,0,0,0,0,1,1,4,1,2,0,5,0,0,2,0,3,0,3,0,0,0,1,0,6,1,2,1,0,4,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,0,0,0,0,0,0,0,0,1,10,0,0,1,4,1,2,0,0,0,2,5,5,5,0,2,0,0,0,0,1,6,0,1,3,0,0,2,1,1,1,0,0,0,0,1,2,1,1,3,0,0,3,3,9,3,0,0,0,0,156
