day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,5,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,2,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
3,6,0,0,0,1,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,7,3,7,2,6,1,0,1,1,0,0,17,0,2,2,4,15,5,1,1,1,0,0,0,0,0,0,1,17,0,0,1,0,6,0,1,0,4,1,1,0,0,0,3,1,4,0,1,2,0,0,0,1,3,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,162
3,7,0,0,8,0,0,2,7,3,0,0,18,0,0,0,0,0,0,0,0,12,0,0,0,0,4,30,8,4,11,6,19,0,0,1,8,1,0,27,0,3,1,19,10,15,6,2,2,1,0,0,5,0,0,5,68,0,0,2,9,20,0,5,3,13,1,1,0,4,0,3,12,8,0,0,6,0,0,0,2,6,0,0,2,0,2,8,0,1,4,0,0,0,0,0,0,0,0,0,14,0,5,0,6,0,0,443
3,8,0,0,5,4,1,2,3,2,6,0,21,0,0,0,0,0,0,0,0,18,0,0,0,0,7,23,11,18,52,13,15,1,0,3,13,10,0,39,0,9,3,19,13,20,16,4,4,0,0,0,4,0,0,9,104,0,0,6,6,40,0,9,13,15,7,2,0,3,0,5,12,12,0,3,13,0,0,0,0,9,0,0,2,0,12,34,0,4,2,0,0,0,0,0,0,0,0,0,7,0,18,0,5,0,0,711
3,9,0,4,6,4,3,2,0,3,3,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,3,7,8,7,10,10,10,5,0,2,7,17,0,13,0,3,4,7,5,3,6,1,3,1,0,0,5,0,0,1,23,0,0,6,8,9,0,9,5,5,4,0,0,1,0,6,3,6,0,3,11,0,0,0,0,4,0,0,4,0,3,14,0,2,4,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,322
3,10,0,0,2,3,3,0,1,1,1,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,2,11,3,1,7,6,5,2,0,2,1,10,0,7,0,3,1,5,4,6,8,6,1,0,0,0,3,0,0,4,10,0,0,4,7,3,0,5,4,1,4,2,0,2,0,5,9,1,0,1,8,0,0,0,2,3,0,0,0,0,7,4,0,2,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,214
3,11,0,0,1,6,3,3,2,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,3,3,8,5,4,1,1,0,0,8,0,9,0,3,0,10,3,4,4,5,0,1,0,0,7,0,0,3,5,0,0,4,6,7,0,3,1,8,4,2,0,1,0,6,2,11,0,3,6,0,0,0,3,7,0,0,7,0,2,3,0,4,2,0,0,0,0,0,0,0,0,0,11,0,2,0,1,0,0,219
3,12,0,7,1,4,5,7,2,1,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,8,5,1,6,7,3,2,0,1,4,4,0,13,0,8,3,5,2,8,2,10,4,1,0,0,3,0,0,5,3,0,0,5,2,10,0,4,3,0,14,2,0,10,0,8,12,5,0,1,10,0,0,0,4,10,0,0,6,0,6,7,0,3,2,0,0,0,0,0,0,0,0,0,11,0,6,0,1,0,0,285
