day,hour,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32002,B32012,C32010,B32010,B32011,B32016,B32018,B32014,B32015,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32009,D32013,B32009,B32013,D32009,D32003,B32008,D32001,D32000,D32007,D32006,D32005,D32004,B32000,B32003,B32002,B32005,B32004,B32007,B32006,B32017,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,C32008,C32009,A32012,A32011,A32010,D32008,total
2,9,0,0,0,0,7,8,1,1,5,0,5,5,6,1,4,7,0,0,3,5,1,0,1,5,4,9,5,1,2,1,25,6,0,14,9,8,15,10,4,3,5,3,1,8,2,0,1,9,0,0,22,7,3,0,0,0,11,0,22,4,279
2,10,0,0,0,0,4,7,0,0,1,0,4,6,6,3,2,4,0,0,2,2,2,2,2,1,6,6,8,0,1,0,5,14,0,9,11,8,21,3,7,1,2,3,1,3,2,0,6,3,0,2,5,11,0,1,0,0,6,0,14,7,214
2,11,0,0,0,0,2,11,12,4,2,0,12,1,6,3,2,3,0,0,3,6,6,3,1,1,2,3,10,1,1,2,5,6,0,1,13,5,15,9,4,5,0,3,7,6,2,0,0,10,0,0,7,13,1,3,0,0,10,0,7,14,243
2,12,0,0,0,0,3,16,13,1,6,0,5,9,6,5,6,6,0,0,1,4,5,7,5,4,3,1,7,6,2,13,2,11,3,15,20,12,20,8,23,10,5,10,16,17,3,0,3,5,1,5,3,15,1,1,0,0,3,0,17,11,374
2,13,0,0,0,0,5,10,8,2,4,0,16,10,14,2,3,11,0,0,2,6,6,4,2,3,2,6,13,5,5,12,4,14,0,9,13,11,22,12,13,5,1,4,9,5,4,4,2,5,0,0,4,6,0,1,0,0,6,0,18,11,334
2,14,0,0,0,0,6,8,14,2,7,0,9,7,6,7,2,9,0,0,2,9,11,3,7,5,0,5,9,6,1,14,5,9,0,2,21,6,24,7,18,8,4,15,12,6,1,2,4,11,0,1,3,5,0,1,0,0,5,0,23,4,346
2,15,0,0,0,0,3,14,9,0,7,0,16,9,9,8,5,13,0,0,2,1,8,7,2,4,5,5,9,7,2,11,10,11,0,7,21,5,29,15,9,10,4,14,10,8,4,0,2,7,1,1,7,4,0,1,0,0,7,0,16,3,362
2,16,0,1,0,0,12,15,20,3,5,0,15,21,8,3,10,6,0,0,2,4,19,14,4,4,2,2,28,8,6,9,5,12,0,14,35,14,25,28,22,23,2,12,5,16,2,1,10,7,1,5,7,17,1,0,0,0,8,0,40,17,550
2,17,0,0,0,0,5,26,12,1,5,0,27,15,13,3,15,8,0,0,15,2,12,13,10,3,3,9,31,6,2,18,17,46,3,21,53,15,40,13,30,21,5,28,15,31,10,3,9,21,1,6,12,29,0,2,0,0,10,0,74,31,800
2,18,2,1,0,0,16,12,6,4,3,0,17,11,17,5,11,14,0,0,1,5,5,8,5,14,3,21,15,6,6,12,12,15,4,16,11,8,54,14,18,7,2,15,12,25,7,6,5,35,0,0,16,18,1,0,0,0,7,0,45,19,592
2,19,0,0,0,0,7,13,7,4,9,0,13,11,29,1,6,6,0,0,2,12,8,2,3,7,3,5,11,0,4,13,7,9,0,9,19,6,17,14,19,3,4,11,7,12,5,4,8,15,0,0,12,15,4,2,0,0,11,0,31,11,431
2,20,0,0,0,0,3,3,3,1,0,0,10,6,10,3,3,4,0,0,0,1,6,0,2,3,1,8,8,0,3,6,5,4,0,9,21,7,18,16,13,4,2,6,7,11,4,1,0,12,0,1,8,7,2,0,0,0,8,0,10,9,269
2,21,0,1,0,0,8,6,4,0,3,0,7,9,7,5,4,5,0,0,1,3,5,0,0,0,0,1,3,0,0,6,1,9,0,3,10,6,23,1,14,4,3,7,5,5,4,1,0,2,0,1,3,4,2,1,0,0,7,0,8,5,207
2,22,0,0,0,0,5,3,0,0,4,0,11,15,8,5,0,4,0,0,0,4,7,0,3,0,0,4,7,12,0,10,1,6,0,0,5,0,23,3,11,3,0,8,10,12,3,0,0,6,0,0,9,1,1,0,0,0,5,0,3,6,218
2,23,0,0,0,0,5,10,3,0,1,0,13,7,2,4,2,6,0,0,2,0,3,0,4,0,3,1,1,1,0,5,0,6,0,2,9,4,7,2,6,3,3,2,0,3,0,0,2,4,0,0,0,3,1,0,0,0,2,0,2,2,136
3,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,3,0,0,1,0,3,1,0,0,2,0,2,3,1,2,0,0,0,0,3,0,5,1,4,2,0,2,0,0,2,3,0,3,0,0,0,3,3,0,0,0,2,0,2,0,60
3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,2,3,0,0,0,0,0,0,0,0,5,1,0,0,0,2,1,2,0,2,1,0,6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,38
3,2,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,2,1,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,34
3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,5,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,18
3,6,0,0,0,0,2,0,0,0,0,0,2,2,4,0,1,0,0,0,0,1,1,0,3,2,0,2,4,2,1,1,11,1,0,0,1,8,3,0,0,0,0,0,0,1,0,1,0,8,0,1,2,2,1,1,0,0,3,0,9,3,84
