day,hour,C32004,M32032,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,S32002,S32003,B32020,S32006,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,A32019,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,M32020,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,M32025,E32004,E32005,E32006,E32001,E32002,E32003,M32038,D32003,M32023,D32001,D32000,M32026,M32027,M32024,D32004,D32009,D32008,C32020,C32021,C32022,C32023,M32031,M32030,B32018,B32019,M32034,M32037,B32012,B32013,B32010,B32011,B32016,B32017,B32014,B32015,S32001,K32002,K32003,K32001,K32004,B32008,M32009,B32000,M32006,M32007,B32005,M32001,M32002,M32003,M32029,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,M32005,B32003,B32002,B32004,B32007,B32006,C32014,total
0,20,3,0,6,2,6,10,7,10,0,5,4,6,2,2,3,13,6,2,1,2,4,7,1,3,7,6,14,0,0,7,9,4,5,6,9,1,1,3,7,3,6,3,10,2,0,0,4,7,2,9,7,3,5,7,3,14,4,4,8,5,1,2,2,3,12,0,2,0,0,1,0,3,3,2,0,5,1,3,2,1,20,5,4,3,3,7,5,1,0,1,2,1,3,12,0,0,14,4,7,16,10,16,2,7,8,1,0,0,5,0,4,23,17,19,2,8,6,12,12,8,10,20,8,7,22,6,8,11,3,10,2,0,6,2,1,0,717
0,21,3,0,5,3,8,7,1,5,1,2,2,6,4,0,2,10,4,0,0,1,4,2,1,1,2,2,6,2,0,3,7,6,3,2,5,0,0,0,5,1,8,1,11,0,0,2,2,10,3,5,11,4,6,9,1,15,4,3,7,10,2,0,1,2,7,0,0,1,0,3,0,2,0,1,1,4,2,2,0,0,5,3,4,3,0,4,2,0,1,1,3,0,4,4,0,0,4,2,2,6,4,4,0,5,4,2,0,2,3,2,4,9,5,19,10,3,5,3,4,3,4,18,1,5,20,3,8,13,2,11,8,1,4,5,2,0,500
0,22,6,0,1,2,6,6,1,0,1,5,3,2,1,7,1,11,2,1,2,0,3,3,1,0,7,1,2,4,0,3,6,2,0,0,9,0,0,1,4,1,4,1,7,1,0,2,0,0,2,2,11,2,0,0,1,5,2,1,4,2,3,0,0,0,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0,6,1,0,5,1,2,5,0,0,1,2,0,0,4,0,0,9,4,3,2,7,15,0,0,5,5,1,2,5,2,2,5,8,6,3,6,0,7,5,4,2,8,1,9,12,4,3,2,4,6,1,0,5,1,0,0,360
0,23,1,0,0,1,1,2,3,3,0,1,1,4,0,1,0,1,3,0,0,0,1,0,0,0,0,2,1,0,0,1,3,0,1,0,0,0,0,0,4,0,0,1,1,0,0,1,0,2,1,3,1,5,1,0,0,2,0,0,2,2,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,3,0,2,3,0,0,0,0,1,0,5,0,0,7,1,4,10,2,5,0,0,0,0,0,0,0,0,1,4,7,6,0,5,0,2,1,4,1,7,0,6,7,2,5,2,1,5,0,0,1,2,1,0,183
1,0,1,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,0,0,0,2,2,0,0,0,0,1,0,11,2,7,0,4,0,3,1,4,0,7,1,0,3,5,0,3,0,0,0,0,1,0,0,0,100
1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,2,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,48
1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,1,3,4,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1,5,2,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,3,3,1,0,1,2,4,0,2,0,1,1,0,0,1,1,0,6,1,0,0,1,0,0,7,0,1,0,2,0,0,1,1,1,2,5,0,1,0,0,0,0,0,4,0,0,0,0,2,0,3,0,0,0,1,2,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,3,4,0,0,0,2,0,0,4,2,2,0,4,0,0,5,0,0,0,1,1,2,3,0,2,0,0,0,2,0,0,0,0,0,0,0,119
